Unique_ID,Plot_ID,Type,Plot_#,Location,Efflux,Run_#,Soil_VWC,Soil_T,Date,Comments
T2_3_5_26,T2,Treatment,2,3,3.41,2,11,11.3,2022-05-26,
T2_4_5_26,T2,Treatment,2,4,2.99,1,15,11.3,2022-05-26,
T2_4_5_26,T2,Treatment,2,4,2.86,2,15,11.3,2022-05-26,
C1_1_5_26,C1,Control,1,1,4.77,1,13,11.1,2022-05-26,
C1_1_5_26,C1,Control,1,1,4.65,2,13,11.1,2022-05-26,
C1_2_5_26,C1,Control,1,2,3.32,1,13,11.4,2022-05-26,
C1_2_5_26,C1,Control,1,2,2.94,2,13,11.4,2022-05-26,
C1_3_5_26,C1,Control,1,3,4.96,1,10,11.2,2022-05-26,
C1_3_5_26,C1,Control,1,3,4.76,2,10,11.2,2022-05-26,
C1_4_5_26,C1,Control,1,4,4.77,1,9,11.6,2022-05-26,
C1_4_5_26,C1,Control,1,4,4.19,2,9,11.6,2022-05-26,
T1_1_5_26,T1,Treatment,1,1,11.6,1,14,11.3,2022-05-26,
T1_1_5_26,T1,Treatment,1,1,9.24,2,14,11.3,2022-05-26,
T1_2_5_26,T1,Treatment,1,2,3.82,1,13,11.6,2022-05-26,
T1_2_5_26,T1,Treatment,1,2,3.34,2,13,11.6,2022-05-26,
T1_3_5_26,T1,Treatment,1,3,4.1,1,12,11.5,2022-05-26,
T1_3_5_26,T1,Treatment,1,3,3.79,2,12,11.5,2022-05-26,
T1_4_5_26,T1,Treatment,1,4,5.06,1,14,11.4,2022-05-26,
T1_4_5_26,T1,Treatment,1,4,4.45,2,14,11.4,2022-05-26,
C2_1_5_26,C2,Control,2,1,4.66,1,16,11.7,2022-05-26,
C2_1_5_26,C2,Control,2,1,4.15,2,16,11.7,2022-05-26,
C2_2_5_26,C2,Control,2,2,4.25,1,11,11.6,2022-05-26,
C2_2_5_26,C2,Control,2,2,3.76,2,11,11.6,2022-05-26,
C2_3_5_26,C2,Control,2,3,4.4,1,10,11.5,2022-05-26,
C2_3_5_26,C2,Control,2,3,3.75,3,10,11.5,2022-05-26,
C2_4_5_26,C2,Control,2,4,5.88,1,15,10.9,2022-05-26,
C2_4_5_26,C2,Control,2,4,4.17,2,15,10.9,2022-05-26,
C3_1_6_22,C3,Control,3,1,4.45,1,9,17.3,2022-06-22,
C3_1_6_22,C3,Control,3,1,4.31,2,9,17.3,2022-06-22,
C3_2_6_22,C3,Control,3,2,4.32,1,9,17.2,2022-06-22,
C3_2_6_22,C3,Control,3,2,4.4,2,9,17.2,2022-06-22,
C3_3_6_22,C3,Control,3,3,3.13,1,8,18.5,2022-06-22,
C3_3_6_22,C3,Control,3,3,3.13,2,8,18.5,2022-06-22,
C3_4_6_22,C3,Control,3,4,3.86,1,11,17.2,2022-06-22,
C3_4_6_22,C3,Control,3,4,4.04,2,11,17.2,2022-06-22,
C4_1_6_22,C4,Control,4,1,11.2,1,11,17.4,2022-06-22,
C4_1_6_22,C4,Control,4,1,10.3,2,11,17.4,2022-06-22,
C4_2_6_22,C4,Control,4,2,5.74,3,11,17.3,2022-06-22,
C4_2_6_22,C4,Control,4,2,5.35,4,11,17.3,2022-06-22,
C4_3_6_22,C4,Control,4,3,4.21,1,9,17.2,2022-06-22,
C4_3_6_22,C4,Control,4,3,4.11,2,9,17.2,2022-06-22,
C4_4_6_22,C4,Control,4,4,5.61,1,15,16.5,2022-06-22,
C4_4_6_22,C4,Control,4,4,5.52,2,15,16.5,2022-06-22,
T4_1_6_22,T4,Treatment,4,1,4.7,1,16,17,2022-06-22,
T4_1_6_22,T4,Treatment,4,1,4.45,2,16,17,2022-06-22,
T4_2_6_22,T4,Treatment,4,2,3.95,1,12,17.1,2022-06-22,
T4_2_6_22,T4,Treatment,4,2,3.65,2,12,17.1,2022-06-22,
T4_3_6_22,T4,Treatment,4,3,4.03,1,13,17.5,2022-06-22,
T4_3_6_22,T4,Treatment,4,3,4.03,2,13,17.5,2022-06-22,
T4_4_6_22,T4,Treatment,4,4,4.03,1,13,17.1,2022-06-22,
T4_4_6_22,T4,Treatment,4,4,4.12,2,13,17.1,2022-06-22,
T3_1_6_22,T3,Treatment,3,1,5.16,3,10,16.6,2022-06-22,
T3_1_6_22,T3,Treatment,3,1,5.02,4,10,16.6,2022-06-22,
T3_2_6_22,T3,Treatment,3,2,3.84,1,11,16.5,2022-06-22,
T3_2_6_22,T3,Treatment,3,2,3.53,2,11,16.5,2022-06-22,
T3_3_6_22,T3,Treatment,3,3,5.75,1,12,17.3,2022-06-22,
T3_3_6_22,T3,Treatment,3,3,5.81,2,12,17.3,2022-06-22,
T3_4_6_22,T3,Treatment,3,4,3.94,1,13,17.1,2022-06-22,
T3_4_6_22,T3,Treatment,3,4,3.8,2,13,17.1,2022-06-22,
T2_1_6_22,T2,Treatment,2,1,5.18,1,11,17,2022-06-22,
T2_1_6_22,T2,Treatment,2,1,5.03,2,11,17,2022-06-22,
T2_2_6_22,T2,Treatment,2,2,4.89,1,11,16.9,2022-06-22,
T2_2_6_22,T2,Treatment,2,2,4.64,2,11,16.9,2022-06-22,
T2_3_6_22,T2,Treatment,2,3,4.42,1,10,17.4,2022-06-22,
T2_3_6_22,T2,Treatment,2,3,4.27,2,10,17.4,2022-06-22,
T2_4_6_22,T2,Treatment,2,4,4.77,1,10,17.7,2022-06-22,
T2_4_6_22,T2,Treatment,2,4,4.44,2,10,17.7,2022-06-22,
C1_1_6_22,C1,Control,1,1,5.62,1,7,16.9,2022-06-22,
C1_1_6_22,C1,Control,1,1,5.34,2,7,16.9,2022-06-22,
C1_2_6_22,C1,Control,1,2,3.67,1,10,17.1,2022-06-22,
C1_2_6_22,C1,Control,1,2,3.69,2,10,17.1,2022-06-22,
C1_3_6_22,C1,Control,1,3,7.55,3,9,17.1,2022-06-22,
C1_3_6_22,C1,Control,1,3,6.74,4,9,17.1,2022-06-22,
C1_4_6_22,C1,Control,1,4,4.53,1,8,17.3,2022-06-22,
C1_4_6_22,C1,Control,1,4,4.31,2,8,17.3,2022-06-22,
T1_1_6_22,T1,Treatment,1,1,9.35,3,15,16,2022-06-22,
T1_1_6_22,T1,Treatment,1,1,9.72,4,15,16,2022-06-22,
T1_2_6_22,T1,Treatment,1,2,4.98,1,12,18,2022-06-22,
T1_2_6_22,T1,Treatment,1,2,4.63,2,12,18,2022-06-22,
T1_3_6_22,T1,Treatment,1,3,4.87,3,11,17.6,2022-06-22,
T1_3_6_22,T1,Treatment,1,3,4.82,4,11,17.6,2022-06-22,
T1_4_6_22,T1,Treatment,1,4,4.74,3,14,17.2,2022-06-22,
T1_4_6_22,T1,Treatment,1,4,4.62,4,14,17.2,2022-06-22,
C2_1_6_22,C2,Control,2,1,5.67,1,11,17.5,2022-06-22,
C2_1_6_22,C2,Control,2,1,5.26,2,11,17.5,2022-06-22,
C2_2_6_22,C2,Control,2,2,5.52,1,10,17.9,2022-06-22,
C2_2_6_22,C2,Control,2,2,5.1,2,10,17.9,2022-06-22,
C2_3_6_22,C2,Control,2,3,6.98,1,8,17.4,2022-06-22,
C2_3_6_22,C2,Control,2,3,7.08,2,8,17.4,2022-06-22,
C2_4_6_22,C2,Control,2,4,5.16,1,11,16.6,2022-06-22,
C2_4_6_22,C2,Control,2,4,5.25,2,11,16.6,2022-06-22,
C3_1_6_28,C3,Control,3,1,6.27,3,4,15.9,2022-06-28,
C3_1_6_28,C3,Control,3,1,5.97,4,4,15.9,2022-06-28,
C3_2_6_28,C3,Control,3,2,4.31,1,6,16,2022-06-28,
C3_2_6_28,C3,Control,3,2,4.47,2,6,16,2022-06-28,
C3_3_6_28,C3,Control,3,3,2.35,1,4,17,2022-06-28,
C3_3_6_28,C3,Control,3,3,2.38,2,4,17,2022-06-28,
C3_4_6_28,C3,Control,3,4,3.87,1,5,15.9,2022-06-28,
C3_4_6_28,C3,Control,3,4,3.98,2,5,15.9,2022-06-28,
C2_1_6_28,C2,Control,2,1,7.77,3,9,16.2,2022-06-28,
C2_1_6_28,C2,Control,2,1,7.35,4,9,16.2,2022-06-28,
C2_2_6_28,C2,Control,2,2,4.2,1,6,16.1,2022-06-28,
C2_2_6_28,C2,Control,2,2,4.11,2,6,16.1,2022-06-28,
C2_3_6_28,C2,Control,2,3,10.6,1,3,16.6,2022-06-28,
C2_3_6_28,C2,Control,2,3,10.2,2,3,16.6,2022-06-28,
C2_4_6_28,C2,Control,2,4,6.85,3,5,15.7,2022-06-28,
C2_4_6_28,C2,Control,2,4,9.19,4,5,15.7,2022-06-28,
T1_1_6_28,T1,Treatment,1,1,15.9,3,5,5.15,2022-06-28,
T1_1_6_28,T1,Treatment,1,1,15.3,4,5,5.15,2022-06-28,
T1_2_6_28,T1,Treatment,1,2,5.8,1,9,16.1,2022-06-28,
T1_2_6_28,T1,Treatment,1,2,5.79,2,9,16.1,2022-06-28,
T1_3_6_28,T1,Treatment,1,3,6.61,3,5,16.3,2022-06-28,
T1_3_6_28,T1,Treatment,1,3,6.82,4,5,16.3,2022-06-28,
T1_4_6_28,T1,Treatment,1,4,8,1,6,15.7,2022-06-28,
T1_4_6_28,T1,Treatment,1,4,8.28,2,6,15.7,2022-06-28,
C1_1_6_28,C1,Control,1,1,7.53,1,5,16.4,2022-06-28,
C1_1_6_28,C1,Control,1,1,6.84,2,5,16.4,2022-06-28,
C1_2_6_28,C1,Control,1,2,4.15,1,5,15.9,2022-06-28,
C1_2_6_28,C1,Control,1,2,4.52,2,5,15.9,2022-06-28,
C1_3_6_28,C1,Control,1,3,8.8,1,5,15.9,2022-06-28,
C1_3_6_28,C1,Control,1,3,9.56,2,5,15.9,2022-06-28,
C1_4_6_28,C1,Control,1,4,4.46,1,4,16.5,2022-06-28,
C1_4_6_28,C1,Control,1,4,4.48,2,4,16.5,2022-06-28,
T2_1_6_28,T2,Treatment,2,1,5.74,1,5,15.7,2022-06-28,
T2_1_6_28,T2,Treatment,2,1,5.44,2,5,15.7,2022-06-28,
T2_2_6_28,T2,Treatment,2,2,6.24,1,6,15.6,2022-06-28,
T2_2_6_28,T2,Treatment,2,2,6.55,2,6,15.6,2022-06-28,
T2_3_6_28,T2,Treatment,2,3,5.9,3,4,16,2022-06-28,
T2_3_6_28,T2,Treatment,2,3,5.48,4,4,16,2022-06-28,
T2_4_6_28,T2,Treatment,2,4,4.57,1,7,16.3,2022-06-28,
T2_4_6_28,T2,Treatment,2,4,4.52,2,7,16.3,2022-06-28,
T3_1_6_28,T3,Treatment,3,1,6.48,1,7,15.7,2022-06-28,
T3_1_6_28,T3,Treatment,3,1,6.58,2,7,15.7,2022-06-28,
T3_2_6_28,T3,Treatment,3,2,3.52,1,8,15.8,2022-06-28,
T3_2_6_28,T3,Treatment,3,2,3.85,2,8,15.8,2022-06-28,
T3_3_6_28,T3,Treatment,3,3,8.21,1,4,16.2,2022-06-28,
T3_3_6_28,T3,Treatment,3,3,7.81,2,4,16.2,2022-06-28,
T3_4_6_28,T3,Treatment,3,4,4.16,1,7,15.8,2022-06-28,
T3_4_6_28,T3,Treatment,3,4,4.08,2,7,15.8,2022-06-28,
T4_1_6_28,T4,Treatment,4,1,6.37,1,8,15.8,2022-06-28,
T4_1_6_28,T4,Treatment,4,1,5.98,2,8,15.8,2022-06-28,
T4_2_6_28,T4,Treatment,4,2,5.85,1,6,15.6,2022-06-28,
T4_2_6_28,T4,Treatment,4,2,5.34,2,6,15.6,2022-06-28,
T4_3_6_28,T4,Treatment,4,3,5.46,1,6,16.2,2022-06-28,
T4_3_6_28,T4,Treatment,4,3,5.04,2,6,16.2,2022-06-28,
T4_4_6_28,T4,Treatment,4,4,5.34,3,7,16,2022-06-28,
T4_4_6_28,T4,Treatment,4,4,5.4,4,7,16,2022-06-28,
C4_1_6_28,C4,Control,4,1,12,1,4,16.5,2022-06-28,
C4_1_6_28,C4,Control,4,1,11.7,2,4,16.5,2022-06-28,
C4_2_6_28,C4,Control,4,2,4.43,1,4,16.4,2022-06-28,
C4_2_6_28,C4,Control,4,2,4.66,2,4,16.4,2022-06-28,
C4_3_6_28,C4,Control,4,3,4.93,1,6,15.6,2022-06-28,
C4_3_6_28,C4,Control,4,3,4.84,2,6,15.6,2022-06-28,
C4_4_6_28,C4,Control,4,4,5.22,1,6,15.6,2022-06-28,
C4_4_6_28,C4,Control,4,4,5.51,2,6,15.6,2022-06-28,
C1_1_7_18,C1,Control,1,1,13.1,1,5,18,2022-07-18,
C1_1_7_18,C1,Control,1,1,12.4,2,5,17.8,2022-07-18,
C1_2_7_18,C1,Control,1,2,8.78,1,6,17.4,2022-07-18,
C1_2_7_18,C1,Control,1,2,8.15,2,6,17.4,2022-07-18,
C1_3_7_18,C1,Control,1,3,19.4,1,5,17.5,2022-07-18,
C1_3_7_18,C1,Control,1,3,18.4,2,5,17.5,2022-07-18,
C1_4_7_18,C1,Control,1,4,6.13,3,4,17.4,2022-07-18,
C1_4_7_18,C1,Control,1,4,6.38,4,4,17.4,2022-07-18,
T1_1_7_18,T1,Treatment,1,1,24.7,3,9,17,2022-07-18,
T1_1_7_18,T1,Treatment,1,1,21.1,4,9,17,2022-07-18,
T1_2_7_18,T1,Treatment,1,2,6.48,1,7,17.7,2022-07-18,
T1_2_7_18,T1,Treatment,1,2,6.83,2,7,17.7,2022-07-18,
T1_3_7_18,T1,Treatment,1,3,12.8,3,9,17.6,2022-07-18,
T1_3_7_18,T1,Treatment,1,3,11.5,4,9,17.6,2022-07-18,
T1_4_7_18,T1,Treatment,1,4,9.5,1,7,17.4,2022-07-18,
T1_4_7_18,T1,Treatment,1,4,8.95,2,7,17.4,2022-07-18,
C2_1_7_18,C2,Control,2,1,9.24,1,6,17.6,2022-07-18,
C2_1_7_18,C2,Control,2,1,9.61,2,6,17.6,2022-07-18,
C2_2_7_18,C2,Control,2,2,7.89,1,5,17.6,2022-07-18,
C2_2_7_18,C2,Control,2,2,8.78,2,5,17.6,2022-07-18,
C2_3_7_18,C2,Control,2,3,17.6,1,4,17.7,2022-07-18,
C2_3_7_18,C2,Control,2,3,17.9,2,4,17.7,2022-07-18,
C2_4_7_18,C2,Control,2,4,15.4,3,6,17.4,2022-07-18,
C2_4_7_18,C2,Control,2,4,15.1,4,6,17.4,2022-07-18,
T2_1_7_18,T2,Treatment,2,1,8.13,1,6,17.7,2022-07-18,
T2_1_7_18,T2,Treatment,2,1,8.94,2,6,17.7,2022-07-18,
T2_2_7_18,T2,Treatment,2,2,7.12,1,7,17.6,2022-07-18,
T2_2_7_18,T2,Treatment,2,2,7.38,2,7,17.6,2022-07-18,
T2_3_7_18,T2,Treatment,2,3,10.9,3,6,17.6,2022-07-18,
T2_3_7_18,T2,Treatment,2,3,9.77,4,6,17.6,2022-07-18,
T2_4_7_18,T2,Treatment,2,4,9.96,3,8,17.9,2022-07-18,
T2_4_7_18,T2,Treatment,2,4,10.2,4,8,17.9,2022-07-18,
C3_1_7_18,C3,Control,3,1,8.18,3,4,17.7,2022-07-18,
C3_1_7_18,C3,Control,3,1,7.35,4,4,17.7,2022-07-18,
C3_2_7_18,C3,Control,3,2,6.44,1,7,17.8,2022-07-18,
C3_2_7_18,C3,Control,3,2,6.98,2,7,17.8,2022-07-18,
C3_3_7_18,C3,Control,3,3,3.49,1,5,18.6,2022-07-18,
C3_3_7_18,C3,Control,3,3,3.5,2,5,18.6,2022-07-18,
C3_4_7_18,C3,Control,3,4,7.43,1,6,17.7,2022-07-18,
C3_4_7_18,C3,Control,3,4,7.06,2,6,17.7,2022-07-18,
T3_1_7_18,T3,Treatment,3,1,7.15,1,7,17.4,2022-07-18,
T3_1_7_18,T3,Treatment,3,1,7.95,2,7,17.4,2022-07-18,
T3_2_7_18,T3,Treatment,3,2,6.18,1,8,17.3,2022-07-18,
T3_2_7_18,T3,Treatment,3,2,5.28,2,8,17.3,2022-07-18,
T3_3_7_18,T3,Treatment,3,3,13.8,3,7,18,2022-07-18,
T3_3_7_18,T3,Treatment,3,3,12.6,4,7,18,2022-07-18,
T3_4_7_18,T3,Treatment,3,4,5.83,1,9,17.6,2022-07-18,
T3_4_7_18,T3,Treatment,3,4,6.05,2,9,17.6,2022-07-18,
T4_1_7_18,T4,Treatment,4,1,10.1,1,9,17.7,2022-07-18,
T4_1_7_18,T4,Treatment,4,1,10.5,2,9,17.7,2022-07-18,
T4_2_7_18,T4,Treatment,4,2,6.3,1,8,17.6,2022-07-18,
T4_2_7_18,T4,Treatment,4,2,6.62,2,8,17.6,2022-07-18,
T4_3_7_18,T4,Treatment,4,3,5.96,1,6,17.9,2022-07-18,
T4_3_7_18,T4,Treatment,4,3,6.44,2,6,17.9,2022-07-18,
T4_4_7_18,T4,Treatment,4,4,7.42,1,10,18,2022-07-18,
T4_4_7_18,T4,Treatment,4,4,8.18,2,10,18,2022-07-18,
C4_1_7_18,C4,Control,4,1,22.3,1,4,18.6,2022-07-18,
C4_1_7_18,C4,Control,4,1,20.6,2,4,18.6,2022-07-18,
C4_2_7_18,C4,Control,4,2,5.27,3,4,17.9,2022-07-18,
C4_2_7_18,C4,Control,4,2,4.91,4,4,17.9,2022-07-18,
C4_3_7_18,C4,Control,4,3,8.29,1,5,17.5,2022-07-18,
C4_3_7_18,C4,Control,4,3,8.03,2,5,17.5,2022-07-18,
C4_4_7_18,C4,Control,4,4,14.3,3,8,17.6,2022-07-18,
C4_4_7_18,C4,Control,4,4,11.9,4,8,17.6,2022-07-18,
C2_1_7_29,C2,Control,2,1,6.47,1,4,16.9,2022-07-29,
C2_1_7_29,C2,Control,2,1,6.22,2,4,16.9,2022-07-29,
C2_2_7_29,C2,Control,2,2,3.59,1,4,17,2022-07-29,
C2_2_7_29,C2,Control,2,2,3.81,2,4,17,2022-07-29,
C2_3_7_29,C2,Control,2,3,8.71,3,3,16.9,2022-07-29,
C2_3_7_29,C2,Control,2,3,7.64,4,3,16.9,2022-07-29,
C2_4_7_29,C2,Control,2,4,9.25,3,4,17,2022-07-29,
C2_4_7_29,C2,Control,2,4,9.75,4,4,17,2022-07-29,
T2_1_7_29,T2,Treatment,2,1,7.89,3,4,16.7,2022-07-29,
T2_1_7_29,T2,Treatment,2,1,6.57,4,4,16.7,2022-07-29,
T2_2_7_29,T2,Treatment,2,2,6.49,1,4,17,2022-07-29,
T2_2_7_29,T2,Treatment,2,2,6.59,2,4,16.9,2022-07-29,
T2_3_7_29,T2,Treatment,2,3,5.65,1,4,16.9,2022-07-29,
T2_3_7_29,T2,Treatment,2,3,5.74,2,4,16.8,2022-07-29,
T2_4_7_29,T2,Treatment,2,4,5.24,1,4,17.1,2022-07-29,
T2_4_7_29,T2,Treatment,2,4,5.93,2,4,17.1,2022-07-29,
C1_1_7_29,C1,Control,1,1,4.78,1,4,17.7,2022-07-29,
C1_1_7_29,C1,Control,1,1,5.08,2,4,17.6,2022-07-29,
C1_2_7_29,C1,Control,1,2,5.08,1,5,17.1,2022-07-29,
C1_2_7_29,C1,Control,1,2,4.96,2,5,17.1,2022-07-29,
C1_3_7_29,C1,Control,1,3,10,1,3,17.1,2022-07-29,
C1_3_7_29,C1,Control,1,3,8.99,2,3,17.1,2022-07-29,
C1_4_7_29,C1,Control,1,4,2.98,1,3,17.1,2022-07-29,
C1_4_7_29,C1,Control,1,4,3.32,2,3,16.9,2022-07-29,
T1_1_7_29,T1,Treatment,1,1,12.6,3,5,17.1,2022-07-29,
T1_1_7_29,T1,Treatment,1,1,13,4,5,17.1,2022-07-29,
T1_2_7_29,T1,Treatment,1,2,5.22,1,7,17.2,2022-07-29,
T1_2_7_29,T1,Treatment,1,2,5.63,2,7,17.2,2022-07-29,
T1_3_7_29,T1,Treatment,1,3,5.26,1,4,17.1,2022-07-29,
T1_3_7_29,T1,Treatment,1,3,5.8,2,4,17.1,2022-07-29,
T1_4_7_29,T1,Treatment,1,4,4.99,1,4,17,2022-07-29,
T1_4_7_29,T1,Treatment,1,4,5.54,2,4,17,2022-07-29,
C3_1_7_29,C3,Control,3,1,5.98,3,4,17.1,2022-07-29,
C3_1_7_29,C3,Control,3,1,5.29,4,4,17.1,2022-07-29,
C3_2_7_29,C3,Control,3,2,3.65,1,4,17.1,2022-07-29,
C3_2_7_29,C3,Control,3,2,3.98,2,4,17.1,2022-07-29,
C3_3_7_29,C3,Control,3,3,2.53,1,4,17.5,2022-07-29,
C3_3_7_29,C3,Control,3,3,2.62,2,4,17.6,2022-07-29,
C3_4_7_29,C3,Control,3,4,4.9,1,4,17.4,2022-07-29,
C3_4_7_29,C3,Control,3,4,5.33,2,4,17.4,2022-07-29,
T3_1_7_29,T3,Treatment,3,1,6.1,1,5,17.2,2022-07-29,
T3_1_7_29,T3,Treatment,3,1,6.42,2,5,17.1,2022-07-29,
T3_2_7_29,T3,Treatment,3,2,3.63,1,5,17,2022-07-29,
T3_2_7_29,T3,Treatment,3,2,3.64,2,5,17,2022-07-29,
T3_3_7_29,T3,Treatment,3,3,5.23,1,5,17.3,2022-07-29,
T3_3_7_29,T3,Treatment,3,3,5.28,2,5,17.3,2022-07-29,
T3_4_7_29,T3,Treatment,3,4,4.29,1,7,17.1,2022-07-29,
T3_4_7_29,T3,Treatment,3,4,4.26,2,7,17.1,2022-07-29,
T4_1_7_29,T4,Treatment,4,1,5,1,7,17.1,2022-07-29,
T4_1_7_29,T4,Treatment,4,1,4.61,2,7,17,2022-07-29,
T4_2_7_29,T4,Treatment,4,2,3.68,1,6,17,2022-07-29,
T4_2_7_29,T4,Treatment,4,2,3.75,2,6,17,2022-07-29,
T4_3_7_29,T4,Treatment,4,3,4.25,1,5,17.1,2022-07-29,
T4_3_7_29,T4,Treatment,4,3,4.18,2,5,17,2022-07-29,
T4_4_7_29,T4,Treatment,4,4,4.95,1,9,17.1,2022-07-29,
T4_4_7_29,T4,Treatment,4,4,4.82,2,9,17.1,2022-07-29,
C4_1_7_29,C4,Control,4,1,10.6,3,4,17.6,2022-07-29,
C4_1_7_29,C4,Control,4,1,11.3,4,4,17.6,2022-07-29,
C4_2_7_29,C4,Control,4,2,4.08,1,5,17.3,2022-07-29,
C4_2_7_29,C4,Control,4,2,3.79,2,5,17.3,2022-07-29,
C4_3_7_29,C4,Control,4,3,7.5,3,5,16.8,2022-07-29,
C4_3_7_29,C4,Control,4,3,7.78,4,5,16.8,2022-07-29,
C4_4_7_29,C4,Control,4,4,7.65,1,7,17.4,2022-07-29,
C4_4_7_29,C4,Control,4,4,7.57,2,7,17.3,2022-07-29,
C3_1_7_22,C3,Control,3,1,8.14,3,4,19,2022-07-22,
C3_1_7_22,C3,Control,3,1,7.94,4,4,19,2022-07-22,
C3_2_7_22,C3,Control,3,2,6.84,1,5,19.1,2022-07-22,
C3_2_7_22,C3,Control,3,2,6.67,2,5,19,2022-07-22,
C3_3_7_22,C3,Control,3,3,3.38,1,4,20.2,2022-07-22,
C3_3_7_22,C3,Control,3,3,3.32,2,4,20.2,2022-07-22,
C3_4_7_22,C3,Control,3,4,10.4,1,6,19.2,2022-07-22,
C3_4_7_22,C3,Control,3,4,9.02,2,6,19.2,2022-07-22,
T2_1_7_22,T2,Treatment,2,1,9.29,3,5,18.7,2022-07-22,
T2_1_7_22,T2,Treatment,2,1,9.55,2,5,18.7,2022-07-22,
T2_2_7_22,T2,Treatment,2,2,10.4,1,5,18.8,2022-07-22,
T2_2_7_22,T2,Treatment,2,2,11.3,2,5,18.7,2022-07-22,
T2_3_7_22,T2,Treatment,2,3,7.5,1,4,19,2022-07-22,
T2_3_7_22,T2,Treatment,2,3,7.03,2,4,19,2022-07-22,
T2_4_7_22,T2,Treatment,2,4,9.81,3,5,19.1,2022-07-22,
T2_4_7_22,T2,Treatment,2,4,8.41,4,5,19.1,2022-07-22,
T3_1_7_22,T3,Treatment,3,1,9.12,3,8,18.5,2022-07-22,
T3_1_7_22,T3,Treatment,3,1,9.45,4,8,18.5,2022-07-22,
T3_2_7_22,T3,Treatment,3,2,5.24,3,5,18.6,2022-07-22,
T3_2_7_22,T3,Treatment,3,2,5.58,4,5,18.6,2022-07-22,
T3_3_7_22,T3,Treatment,3,3,10.8,1,6,19.2,2022-07-22,
T3_3_7_22,T3,Treatment,3,3,11.3,2,6,19.2,2022-07-22,
T3_4_7_22,T3,Treatment,3,4,5.83,1,8,18.9,2022-07-22,
T3_4_7_22,T3,Treatment,3,4,5.97,2,8,18.9,2022-07-22,
T4_1_7_22,T4,Treatment,4,1,8.4,1,9,19.1,2022-07-22,
T4_1_7_22,T4,Treatment,4,1,8.25,2,9,19.1,2022-07-22,
T4_2_7_22,T4,Treatment,4,2,6.68,1,5,18.9,2022-07-22,
T4_2_7_22,T4,Treatment,4,2,6.15,2,5,18.9,2022-07-22,
T4_3_7_22,T4,Treatment,4,3,6.36,1,4,19.4,2022-07-22,
